pilot_id,mission_id,segment_id,experience_group,years_experience,mission_type,difficulty_tier,difficulty_rank,target_count,required_engagements,visibility,secondary_cognitive_task,threat_density,friendly_aircraft_count,information_update_rate_per_min,display_complexity,flight_phase,window_duration_s,D_task_z,D_perceptual_z,D_cognitive_z,D_tactical_z,D_temporal_z,latent_workload,engagement_time_s,hit_rate,target_disengagement_time_s,altitude_error_ft,tracking_error_deg,navigation_error_nm,mission_completion,HR_bpm,SDNN_ms,RMSSD_ms,LF_HF_ratio,EEG_theta_rel_power,EEG_alpha_rel_power,EEG_delta_rel_power,fixation_rate_per_min,fixation_duration_ms,blink_rate_bpm,pupil_diameter_mm,nasa_tlx_subjective_proxy,workload_source,generator_version,parameter_seed,workload_class_3lvl,perceptual_cognitive_condition,confidence,validation_flag
P001,M000002,M000002_S08,experienced,10.8,ATG,high,3,10,4,normal,0,3,0,9.45,4,landing_rest,47.7,-0.63,-1.125,-1.111,1.02,-1.082,-1.1512,6.17,0.896,3.46,27.9,1.07,0.29,1,75.9,57.4,33.0,1.58,0.1681,0.3814,0.2116,147.4,320.3,15.2,3.93,27.4,scenario_derived,v1.0,42,low,NV_NoTask,0.988,True
P001,M000003,M000003_S01,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,baseline_rest,46.4,-1.435,-1.437,-1.278,0.922,-1.29,-1.0726,6.67,0.979,2.62,23.9,1.13,0.0,1,79.6,63.5,42.3,1.52,0.161,0.38,0.1993,142.3,327.5,18.0,3.88,36.5,scenario_derived,v1.0,42,low,NV_CogTask,0.989,True
P001,M000003,M000003_S02,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,takeoff,44.7,-1.045,-1.062,-0.278,0.922,-1.02,-0.831,6.69,0.927,3.56,25.2,1.19,0.09,0,74.2,63.8,33.1,1.37,0.1742,0.3785,0.1883,158.3,300.3,18.1,3.97,36.3,scenario_derived,v1.0,42,low,NV_CogTask,0.99,True
P001,M000003,M000003_S03,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,climb,49.7,-1.175,-1.187,-0.611,0.922,-1.132,-1.5212,4.75,0.964,2.47,1.4,1.25,0.14,1,67.2,58.2,37.9,1.63,0.1541,0.3991,0.2006,144.5,331.5,15.7,3.92,21.7,scenario_derived,v1.0,42,low,NV_CogTask,0.985,True
P001,M000003,M000003_S04,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,cruise,50.4,-1.24,-1.25,-0.778,0.922,-1.175,-1.1913,5.43,0.927,2.61,20.8,1.0,0.49,1,74.9,65.7,36.9,1.46,0.1684,0.3655,0.2134,149.3,293.9,13.4,4.12,27.6,scenario_derived,v1.0,42,low,NV_CogTask,0.988,True
P001,M000003,M000003_S05,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,23.6,-0.2,-0.25,1.889,0.922,0.364,0.0087,9.02,0.869,2.25,37.3,0.77,0.26,0,73.7,57.0,37.3,1.57,0.1521,0.3634,0.2041,138.7,301.9,15.5,3.94,48.5,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S06,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,16.9,-0.2,-0.25,1.889,0.922,1.031,0.1806,8.75,0.883,3.39,26.7,1.4,0.73,1,68.9,61.4,40.6,1.59,0.1805,0.3566,0.1941,154.8,277.8,14.1,4.15,41.8,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S07,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,11.9,-0.2,-0.25,1.889,0.922,2.033,0.0759,7.49,0.986,3.47,30.8,1.17,0.4,0,76.0,55.9,40.0,1.72,0.1676,0.3685,0.2121,128.6,311.2,14.8,3.99,55.6,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S08,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,16.7,-0.2,-0.25,1.889,0.922,1.062,-0.0958,7.44,0.929,3.06,33.9,0.67,0.29,1,67.6,61.6,36.2,1.44,0.1527,0.3717,0.2259,139.9,290.9,12.7,4.15,45.5,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S09,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,16.9,-0.2,-0.25,1.889,0.922,1.034,-0.1898,7.09,1.0,3.56,11.2,1.19,0.09,1,75.9,65.5,41.0,1.42,0.1601,0.3855,0.2114,146.9,284.2,15.5,4.08,39.4,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S10,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,attack_task,19.6,-0.2,-0.25,1.889,0.922,0.712,0.2989,8.63,0.861,2.68,28.5,1.74,0.42,0,69.8,65.7,38.7,1.82,0.1859,0.3708,0.2075,154.7,294.8,19.3,4.11,52.6,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000003,M000003_S11,experienced,10.8,ATG,low,1,4,2,normal,1,4,0,7.22,4,landing_rest,46.9,-1.11,-1.125,-0.444,0.922,-1.077,-0.8433,5.68,0.948,3.43,26.1,1.03,0.26,1,71.1,59.1,42.3,1.48,0.1539,0.3665,0.2185,155.4,316.9,14.8,4.03,31.0,scenario_derived,v1.0,42,low,NV_CogTask,0.99,True
P001,M000004,M000004_S01,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,baseline_rest,43.5,-1.452,-1.437,-1.278,0.535,-1.287,-1.69,2.07,0.896,2.42,30.8,1.23,0.43,1,73.7,63.6,34.8,1.49,0.1606,0.4019,0.2267,136.7,345.9,13.5,4.07,25.4,scenario_derived,v1.0,42,low,NV_CogTask,0.983,True
P001,M000004,M000004_S02,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,takeoff,41.0,-1.167,-1.062,-0.278,0.535,-0.992,-1.0577,3.52,0.934,3.48,22.3,0.95,0.48,1,75.0,58.2,34.8,1.41,0.1556,0.386,0.2172,148.8,329.9,18.0,4.0,26.0,scenario_derived,v1.0,42,low,NV_CogTask,0.989,True
P001,M000004,M000004_S03,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,climb,51.3,-1.262,-1.187,-0.611,0.535,-1.138,-1.2187,2.7,0.878,2.41,29.0,0.76,0.87,1,69.0,62.9,42.5,1.5,0.1675,0.3466,0.2007,141.4,280.1,15.5,3.75,20.1,scenario_derived,v1.0,42,low,NV_CogTask,0.988,True
P001,M000004,M000004_S04,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,cruise,42.9,-1.31,-1.25,-0.778,0.535,-1.147,-1.3257,2.9,0.967,3.3,35.1,1.0,0.32,1,73.2,59.3,36.9,1.37,0.166,0.3728,0.2008,144.7,290.3,17.2,3.98,21.0,scenario_derived,v1.0,42,low,NV_CogTask,0.987,True
P001,M000004,M000004_S05,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,attack_task,20.2,-0.55,-0.25,1.889,0.535,0.644,-0.5591,4.69,0.896,2.84,21.9,1.34,0.26,1,74.4,59.0,43.6,1.49,0.1394,0.3796,0.2269,162.6,335.9,13.2,4.07,35.6,scenario_derived,v1.0,42,low,NV_CogTask,0.99,True
P001,M000004,M000004_S06,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,attack_task,17.9,-0.55,-0.25,1.889,0.535,0.902,-0.4393,3.89,0.968,3.32,24.8,0.59,0.2,1,75.4,65.6,41.1,1.38,0.1344,0.3477,0.2217,146.8,297.2,18.6,4.1,42.2,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000004,M000004_S07,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,attack_task,15.8,-0.55,-0.25,1.889,0.535,1.194,-0.0093,6.02,0.944,3.29,35.5,0.65,0.41,1,71.8,50.8,31.5,1.34,0.1671,0.376,0.2093,165.6,289.4,15.2,4.01,45.4,scenario_derived,v1.0,42,medium,NV_CogTask,0.99,True
P001,M000004,M000004_S08,experienced,10.8,ATA,low,1,4,1,normal,1,0,2,3.85,5,landing_rest,45.1,-1.215,-1.125,-0.444,0.535,-1.067,-1.0608,2.78,1.0,2.99,33.8,0.98,0.25,1,73.2,62.2,35.6,1.47,0.1557,0.4087,0.2066,162.4,305.5,15.8,3.84,28.2,scenario_derived,v1.0,42,low,NV_CogTask,0.989,True
P001,M000005,M000005_S01,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,baseline_rest,43.7,-1.46,-1.437,-1.389,0.08,-1.288,-1.2495,4.03,0.845,2.89,15.9,0.41,0.47,1,75.0,70.3,36.9,1.43,0.163,0.3891,0.2018,145.0,324.3,16.0,3.77,20.2,scenario_derived,v1.0,42,low,NV_NoTask,0.988,True
P001,M000005,M000005_S02,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,takeoff,51.0,-1.22,-1.062,-1.056,0.08,-1.059,-1.5057,2.29,0.923,3.29,5.1,0.75,0.31,1,74.5,56.0,39.0,1.66,0.1666,0.3763,0.2065,143.3,307.4,17.8,3.96,17.6,scenario_derived,v1.0,42,low,NV_NoTask,0.985,True
P001,M000005,M000005_S03,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,climb,43.0,-1.3,-1.187,-1.167,0.08,-1.101,-1.5117,2.67,0.949,3.36,38.5,1.3,0.07,1,72.6,59.1,34.5,1.43,0.157,0.3642,0.2043,159.4,311.5,20.2,3.99,21.0,scenario_derived,v1.0,42,low,NV_NoTask,0.985,True
P001,M000005,M000005_S04,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,cruise,45.0,-1.34,-1.25,-1.222,0.08,-1.156,-1.3424,3.93,0.881,3.34,23.9,0.53,0.41,1,70.2,60.9,32.7,1.3,0.1723,0.3672,0.1964,151.8,300.6,14.3,4.05,18.9,scenario_derived,v1.0,42,low,NV_NoTask,0.987,True
P001,M000005,M000005_S05,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,attack_task,13.4,-0.7,-0.25,-0.333,0.08,1.657,-0.2935,5.29,0.89,3.37,12.0,1.55,0.03,0,70.8,69.0,39.7,1.34,0.1566,0.386,0.218,149.4,309.1,16.8,3.99,37.0,scenario_derived,v1.0,42,medium,NV_NoTask,0.99,True
P001,M000005,M000005_S06,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,attack_task,13.7,-0.7,-0.25,-0.333,0.08,1.576,-0.2311,5.63,0.962,3.11,30.4,0.8,0.23,1,69.1,62.2,38.5,1.59,0.1672,0.3779,0.213,149.7,314.7,13.8,4.01,49.9,scenario_derived,v1.0,42,medium,NV_NoTask,0.99,True
P001,M000005,M000005_S07,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,attack_task,14.3,-0.7,-0.25,-0.333,0.08,1.46,-0.7347,3.45,0.867,3.51,34.2,1.16,0.65,1,81.9,60.0,38.7,1.43,0.1655,0.3868,0.2063,164.2,312.1,15.8,3.88,39.3,scenario_derived,v1.0,42,low,NV_NoTask,0.99,True
P001,M000005,M000005_S08,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,attack_task,16.5,-0.7,-0.25,-0.333,0.08,1.096,-0.9228,5.03,0.91,2.42,13.1,0.98,0.37,1,74.8,58.3,38.9,1.36,0.1556,0.3605,0.1956,158.5,318.8,17.2,3.98,38.1,scenario_derived,v1.0,42,low,NV_NoTask,0.99,True
P001,M000005,M000005_S09,experienced,10.8,ATA,low,1,3,1,normal,0,3,1,8.3,1,landing_rest,38.0,-1.26,-1.125,-1.111,0.08,-1.017,-1.2294,3.26,0.942,2.61,3.5,0.79,0.37,1,68.7,57.0,35.7,1.44,0.1482,0.3529,0.1993,150.7,290.8,15.1,4.08,20.1,scenario_derived,v1.0,42,low,NV_NoTask,0.988,True
P001,M000006,M000006_S01,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,baseline_rest,44.8,-1.363,-1.344,-1.389,1.359,-1.289,-1.4597,5.59,0.946,2.47,35.9,1.67,0.46,1,73.1,54.3,32.4,1.53,0.1559,0.3605,0.2069,154.9,286.7,14.4,4.13,17.3,scenario_derived,v1.0,42,low,LV_NoTask,0.985,True
P001,M000006,M000006_S02,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,takeoff,48.5,-0.538,-0.406,-1.056,1.359,-1.045,-0.7447,6.91,0.96,3.36,7.6,1.33,0.09,1,73.6,62.8,38.9,1.36,0.1483,0.3873,0.2093,159.2,307.8,12.5,4.07,34.4,scenario_derived,v1.0,42,low,LV_NoTask,0.99,True
P001,M000006,M000006_S03,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,climb,46.4,-0.812,-0.719,-1.167,1.359,-1.118,-0.6602,5.87,0.906,3.04,8.3,1.1,0.58,1,74.0,49.9,37.8,1.44,0.1536,0.3905,0.2042,148.6,302.8,11.5,3.86,43.9,scenario_derived,v1.0,42,low,LV_NoTask,0.99,True
P001,M000006,M000006_S04,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,cruise,36.6,-0.95,-0.875,-1.222,1.359,-1.115,-1.2663,6.37,0.961,2.78,37.1,0.78,0.46,1,76.0,59.3,34.8,1.46,0.1645,0.3668,0.213,145.3,317.8,16.2,3.97,24.6,scenario_derived,v1.0,42,low,LV_NoTask,0.987,True
P001,M000006,M000006_S05,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,attack_task,11.6,1.25,1.625,-0.333,1.359,2.113,1.2422,10.34,0.86,5.6,83.5,3.13,1.52,0,81.5,49.8,32.8,2.37,0.2234,0.3404,0.2262,173.8,268.3,12.5,4.4,62.7,scenario_derived,v1.0,42,high,LV_NoTask,0.988,True
P001,M000006,M000006_S06,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,attack_task,9.7,1.25,1.625,-0.333,1.359,2.77,0.9558,9.82,0.851,4.29,65.2,2.33,1.07,0,80.4,46.4,31.3,2.2,0.2053,0.3319,0.2201,160.7,260.9,10.7,4.32,77.3,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000006,M000006_S07,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,attack_task,14.1,1.25,1.625,-0.333,1.359,1.498,0.2798,8.22,0.906,3.52,23.0,1.47,0.59,0,72.6,57.5,28.2,1.6,0.1701,0.3476,0.2114,155.2,267.8,14.6,3.96,57.9,scenario_derived,v1.0,42,medium,LV_NoTask,0.99,True
P001,M000006,M000006_S08,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,attack_task,6.0,1.25,1.625,-0.333,1.359,5.333,1.0288,9.58,0.836,4.03,49.3,2.2,1.07,1,79.3,55.9,31.3,2.1,0.2089,0.3361,0.219,185.8,273.5,11.0,4.31,68.4,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000006,M000006_S09,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,attack_task,9.0,1.25,1.625,-0.333,1.359,3.112,0.424,7.68,0.798,3.15,28.0,1.85,0.76,0,75.4,50.4,34.0,1.86,0.1906,0.3464,0.2214,146.4,279.5,15.0,4.26,60.6,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000006,M000006_S10,experienced,10.8,ATG,high,3,9,4,low,0,4,1,7.84,5,landing_rest,44.8,-0.675,-0.562,-1.111,1.359,-1.066,-1.724,4.58,0.905,2.56,22.2,1.03,0.45,1,76.5,60.9,37.6,1.65,0.152,0.4165,0.2112,153.0,316.4,19.0,4.05,9.3,scenario_derived,v1.0,42,low,LV_NoTask,0.983,True
P001,M000007,M000007_S01,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,baseline_rest,48.9,-1.355,-1.344,-1.389,0.736,-1.292,-1.5222,3.92,0.958,3.78,30.1,1.44,0.09,1,70.0,60.0,40.2,1.51,0.1476,0.3545,0.1937,153.9,339.4,18.0,3.79,31.1,scenario_derived,v1.0,42,low,LV_NoTask,0.985,True
P001,M000007,M000007_S02,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,takeoff,48.7,-0.485,-0.406,-1.056,0.736,-1.046,-1.2261,6.05,0.95,2.48,28.8,0.36,0.21,1,72.9,58.9,40.6,1.64,0.1749,0.3874,0.2183,155.9,312.5,15.5,3.95,20.7,scenario_derived,v1.0,42,low,LV_NoTask,0.988,True
P001,M000007,M000007_S03,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,climb,41.2,-0.775,-0.719,-1.167,0.736,-1.09,-1.0664,6.54,0.921,3.4,34.4,0.93,0.38,1,76.8,63.4,34.3,1.52,0.1783,0.3715,0.212,154.4,292.9,16.3,3.84,27.1,scenario_derived,v1.0,42,low,LV_NoTask,0.989,True
P001,M000007,M000007_S04,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,cruise,49.3,-0.92,-0.875,-1.222,0.736,-1.171,-1.1981,5.71,0.92,3.01,29.3,0.78,0.27,1,68.0,57.2,42.6,1.55,0.1485,0.3511,0.2064,162.5,305.7,17.9,4.01,31.3,scenario_derived,v1.0,42,low,LV_NoTask,0.988,True
P001,M000007,M000007_S05,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,6.0,1.4,1.625,-0.333,0.736,5.333,1.0694,9.99,0.786,4.25,73.8,2.66,1.3,0,79.5,59.5,35.0,2.16,0.2193,0.3199,0.2043,179.9,257.0,12.8,4.25,68.0,scenario_derived,v1.0,42,high,LV_NoTask,0.989,True
P001,M000007,M000007_S06,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,12.6,1.4,1.625,-0.333,0.736,1.831,0.4028,8.72,0.892,2.94,37.5,2.06,0.96,1,72.5,59.9,38.2,1.89,0.1892,0.3634,0.21,153.3,270.2,14.3,4.11,60.6,scenario_derived,v1.0,42,medium,LV_NoTask,0.99,True
P001,M000007,M000007_S07,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,6.0,1.4,1.625,-0.333,0.736,5.333,1.6229,10.51,0.774,4.91,118.9,3.29,1.76,0,84.3,48.9,32.8,2.94,0.245,0.303,0.2455,179.4,260.6,5.2,4.57,85.0,scenario_derived,v1.0,42,high,LV_NoTask,0.984,True
P001,M000007,M000007_S08,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,20.7,1.4,1.625,-0.333,0.736,0.602,0.5062,8.51,0.918,2.9,61.8,2.05,0.71,1,74.6,54.9,33.7,1.58,0.1949,0.3717,0.2046,163.0,292.2,13.9,4.06,53.8,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000007,M000007_S09,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,15.2,1.4,1.625,-0.333,0.736,1.297,0.9433,9.28,0.792,4.53,71.5,2.73,1.34,0,80.0,53.4,28.7,2.14,0.2209,0.3397,0.2016,156.6,310.6,11.3,4.18,65.3,scenario_derived,v1.0,42,high,LV_NoTask,0.99,True
P001,M000007,M000007_S10,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,attack_task,6.0,1.4,1.625,-0.333,0.736,5.333,1.1277,10.4,0.824,4.81,75.3,3.06,1.42,0,83.0,51.8,37.3,2.18,0.2165,0.3289,0.2206,169.4,285.9,10.4,4.14,70.4,scenario_derived,v1.0,42,high,LV_NoTask,0.989,True
P001,M000007,M000007_S11,experienced,10.8,ATG,high,3,10,4,low,0,6,1,8.11,2,landing_rest,40.6,-0.63,-0.562,-1.111,0.736,-1.038,-1.2231,5.69,0.949,3.23,0.0,0.59,0.65,1,74.6,58.2,38.2,1.4,0.1674,0.3763,0.203,141.6,312.5,12.9,4.02,43.7,scenario_derived,v1.0,42,low,LV_NoTask,0.988,True
P001,M000008,M000008_S01,experienced,10.8,ATG,low,1,4,2,low,0,6,2,6.13,1,baseline_rest,44.3,-1.435,-1.344,-1.389,0.313,-1.288,-1.4844,4.77,0.946,3.27,19.7,1.02,0.1,1,75.1,62.7,39.3,1.53,0.1622,0.3847,0.2168,157.3,307.0,18.1,4.0,27.1,scenario_derived,v1.0,42,low,LV_NoTask,0.985,True
P001,M000008,M000008_S02,experienced,10.8,ATG,low,1,4,2,low,0,6,2,6.13,1,takeoff,46.1,-1.045,-0.406,-1.056,0.313,-1.03,-1.3045,5.67,1.0,2.85,22.3,0.87,0.16,1,70.8,59.0,33.1,1.38,0.1447,0.3837,0.2355,147.1,283.5,17.1,3.9,34.3,scenario_derived,v1.0,42,low,LV_NoTask,0.987,True
P001,M000008,M000008_S03,experienced,10.8,ATG,low,1,4,2,low,0,6,2,6.13,1,climb,43.9,-1.175,-0.719,-1.167,0.313,-1.105,-1.4224,5.5,0.911,2.8,19.1,0.62,0.34,1,71.5,63.9,38.8,1.58,0.1611,0.3918,0.2167,153.6,322.4,16.8,3.93,16.3,scenario_derived,v1.0,42,low,LV_NoTask,0.986,True
