Feature,Domain,Test_Used,Test_Statistic,p_value,ANOVA_p,Kruskal_p,Mean_Level_1,Mean_Level_2,Mean_Level_3,Mean_Level_4,Corr_Flight_Error_rho,Corr_Flight_Error_p,Valid_N,q_value_FDR,Significant_p05
pupil_diam_skew_L,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),14.731437950571262,0.002061148864506592,0.09456470575728096,0.002061148864506592,-4.349181032574737,-4.373516506948587,-4.678478753824411,-4.714396273197618,0.10084527159494062,0.04545019726244161,394,0.00813611393884181,True
fix_density_mean,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),14.28612683134952,0.002540458214054335,0.06753886434152925,0.002540458214054335,0.018084033769422907,0.017737650875530187,0.016586374399001746,0.015004775833587485,0.06212140460369647,0.21856775299489353,394,0.009526718302703756,True
pupil_diam_skew,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),13.918006588452272,0.003018911069578983,0.003338031877900761,0.003018911069578983,-0.15209123253497003,-0.018717724802851568,0.016157591948596846,0.1850657478979844,-0.05112370159602462,0.3114355728839406,394,0.01078182524849637,True
fix_dur_stdev,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),13.289519339750314,0.004050555084444207,0.5286551161897958,0.004050555084444207,1.500565401653727e-06,1.4519615754765218e-06,1.4569289616664143e-06,1.367172139386604e-06,-0.09931688635160807,0.048839129614104325,394,0.013677180960166709,True
fix_dur_kurt,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),13.214823349856488,0.004194335494451124,0.815789629515908,0.004194335494451124,26.670675555226982,28.147374316964193,24.928841309013716,20.96144890959636,-0.12509950935694514,0.012953896582002732,394,0.013677180960166709,True
emg_extensor_rms_mV,Muscular/Motion (EMG),Kruskal-Wallis (H),11.190747535612218,0.010737905589216492,0.3814787129940796,0.010737905589216492,0.012598006141470776,0.011841173618539997,0.013667444255850226,0.01446724213061647,0.13431442634664267,0.006587335014615741,408,0.03355595496630154,True
fix_density_stdev,Oculomotor (Pupil/Gaze),ANOVA (F),3.5856462911470524,0.013937630375094876,0.013937630375094876,0.0029728466311330537,0.0713437215554698,0.07029516382187262,0.06767340006990075,0.061805100314076544,0.037205782161939184,0.4614737560419382,394,0.04181289112528463,True
eyes_closed_fraction_R,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),10.319008743311997,0.016040295765357652,0.4128404797073083,0.016040295765357652,0.0391893479395404,0.031403633474467535,0.03480159321854944,0.026398218336534204,0.08235651891131489,0.10261415149595006,394,0.046270083938531686,True
emg_flexor_rms_mV,Muscular/Motion (EMG),Kruskal-Wallis (H),9.815522713102837,0.020201140130519497,0.2686119261536307,0.020201140130519497,0.012182252155089083,0.011837692082369768,0.013227685486641683,0.014322381613359287,0.12135500169442352,0.014174837936702144,408,0.05611427814033194,True
eyes_closed_fraction_L,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),9.212325201657677,0.02659713269732915,0.8606320098435747,0.02659713269732915,0.039832474198313914,0.03611779271519064,0.040211033611909086,0.0305113603882973,0.038187951164265606,0.44972320264436444,394,0.07124231972498879,True
psd_max_RX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),7.323175588943059,0.06228019959858192,0.1701469344635816,0.06228019959858192,9.778602738978769e-06,8.957413097171507e-06,9.048261331796202e-06,1.0395909193696912e-05,-0.11030968440021915,0.02857408879681826,394,0.16106948172047048,False
overall_gaze_entropy_RX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),7.051920474877306,0.07026117394793908,0.20914133936987972,0.07026117394793908,18.31628365719952,18.471448806587077,18.483579317337043,18.270214424178462,0.16057511625979212,0.001383966411229689,394,0.1756529348698477,False
emg_forearm_motion_energy,Muscular/Motion (EMG),Kruskal-Wallis (H),6.354067689404474,0.09559883592646333,0.15155424641622814,0.09559883592646333,0.349329788942627,0.31137840108433473,0.3399467457744342,0.3567404268061062,0.05532955389132578,0.2648385709111036,408,0.2312875062737016,False
pupil_diam_stdev_L,Oculomotor (Pupil/Gaze),ANOVA (F),1.9864022110286341,0.11548239085534476,0.11548239085534476,0.0022571587621796054,0.8518648310076409,0.8479078258182797,0.8110407878816683,0.7653893182138348,0.145833556100224,0.0037192549169552404,394,0.2706618535672143,False
psd_max_LX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.6130861526576155,0.3063886795392345,0.46919598525311534,0.3063886795392345,9.53535939175913e-06,9.126133148068763e-06,9.075308893233957e-06,1.0106762956600234e-05,-0.18979160300438552,0.00015077644401433347,394,0.6718871185256783,False
ecg_hr_std,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),3.407909615531935,0.3329038027839536,0.7103205319539827,0.3329038027839536,7.738188503869756,7.276792584802393,7.8419948368523915,8.25429449311073,0.31038876688874834,2.101574293935531e-10,401,0.6718871185256783,False
overall_gaze_entropy_LX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.3410336119702606,0.3419722416780315,0.5896802968828034,0.3419722416780315,18.36457213563906,18.423503094292265,18.491813721806714,18.324330349367354,0.21933770299786193,1.1153466620299606e-05,394,0.6718871185256783,False
psd_freq_of_max_RY,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.2875350749297922,0.34938130163335274,0.21741151477379456,0.34938130163335274,85.23638818284357,85.23041756743476,85.2183525147911,85.17001814534785,0.048900970348050986,0.3329685328698097,394,0.6718871185256783,False
psd_freq_of_max_RX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.2875350749297922,0.34938130163335274,0.21741151477379456,0.34938130163335274,85.23638818284357,85.23041756743476,85.2183525147911,85.17001814534785,0.048900970348050986,0.3329685328698097,394,0.6718871185256783,False
psd_freq_of_max_LY,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.2875350749297922,0.34938130163335274,0.21741151477379456,0.34938130163335274,85.23638818284357,85.23041756743476,85.2183525147911,85.17001814534785,0.048900970348050986,0.3329685328698097,394,0.6718871185256783,False
psd_freq_of_max_LX,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.2875350749297922,0.34938130163335274,0.21741151477379456,0.34938130163335274,85.23638818284357,85.23041756743476,85.2183525147911,85.17001814534785,0.048900970348050986,0.3329685328698097,394,0.6718871185256783,False
delta_HR,Personalized Delta,Kruskal-Wallis (H),3.1559815485670697,0.3681954797557817,0.30898609541499766,0.3681954797557817,4.623632360157512,4.32425184433986,5.446859992633024,6.343383555528738,0.10545908614550764,0.039642386034413564,381,0.6903665245420907,False
fix_dur_mean,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),3.0378158452740536,0.385831386145804,0.4736224578226188,0.385831386145804,1.772293082824297e-06,1.768813476280999e-06,1.7165065798252596e-06,1.7326329552228941e-06,-0.10345843758415071,0.040113566593851534,394,0.7057891209984218,False
gaze_entropy_x,Oculomotor (Pupil/Gaze),ANOVA (F),0.886590593399701,0.4480777636029616,0.4480777636029616,0.47261194734898304,1.7938446638347312,1.814074592914867,1.7615350657888522,1.7771207869794226,-0.15982112595297224,0.0014587772977776956,394,0.7867298602071514,False
ecg_rr_sdnn_ms,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),2.636892728614839,0.45105845318543347,0.9303659652045352,0.45105845318543347,83.4591555111952,80.39722842243918,83.50545699158634,85.63717731858141,0.17076227342092531,0.000594539916164882,401,0.7867298602071514,False
ecg_hr_mean,Cardiovascular (ECG/HRV),ANOVA (F),0.8489696279409502,0.46775454253201576,0.46775454253201576,0.5712485548911452,73.37375970833823,72.81328473232122,74.64052182673451,75.2101550752095,0.1712238061562512,0.0005742068228855657,401,0.797308879315936,False
psd_freq_of_max_RZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),2.35647957785136,0.5017873445464887,0.8471124576884994,0.5017873445464887,108.96117178639074,107.38708204968854,104.54120032037456,105.5988937848446,-0.033488607987333434,0.5074562067937095,394,0.8363122409108144,False
psd_freq_of_max_LZ,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),1.8519566484344523,0.6036943739069356,0.7772028265234072,0.6036943739069356,107.20956881306415,109.09308053269679,103.66148440001575,107.30739135849377,0.01375379950391244,0.7855062251523571,394,0.9272240561652461,False
delta_HRV_SDNN,Personalized Delta,Kruskal-Wallis (H),1.8418938201300534,0.6058610794524826,0.9946061627975831,0.6058610794524826,-9.585153473528225,-9.526224007962323,-7.910461979372594,-6.877815236439266,0.3390157588802364,1.0613070525319872e-11,381,0.9272240561652461,False
delta_EDA_conductance,Personalized Delta,Kruskal-Wallis (H),1.7637346820956736,0.622858289775263,0.6756407987898105,0.622858289775263,0.8785347730644706,0.7413056663114921,1.048635160479978,0.8762088275976849,0.1091063094944644,0.03516854622529257,373,0.9272240561652461,False
delta_EDA_tonic,Personalized Delta,Kruskal-Wallis (H),1.7548617825386827,0.6248064220585337,0.6756924829427229,0.6248064220585337,0.8784208805253123,0.7412882701180974,1.048593639363969,0.8760964381662872,0.10935303968355638,0.03475473696169006,373,0.9272240561652461,False
ecg_rr_mean_ms,Cardiovascular (ECG/HRV),ANOVA (F),0.5848062878461624,0.6252694689308405,0.6252694689308405,0.5924200998882501,850.2363583015492,854.2472785142844,837.6011951342156,832.4408689520479,-0.13968064912346004,0.005076791800370495,401,0.9272240561652461,False
sac_peak_vel_stdev,Oculomotor (Pupil/Gaze),ANOVA (F),0.576862674040705,0.6305123581923673,0.6305123581923673,0.20638697893642327,0.12652709476687526,0.12413908214614557,0.12007245056396748,0.11817859308993521,0.0797941682979743,0.11379595410512806,394,0.9272240561652461,False
sac_peak_vel_mean,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),1.220966580132199,0.7479801766344969,0.9663115811531133,0.7479801766344969,0.04527905957889552,0.045096098262134475,0.044605743043036154,0.046199577114869335,0.14248562724371222,0.004600604457498199,394,0.9995216065845748,False
eda_phasic_peak_rate_per_min,Electrodermal (EDA),Kruskal-Wallis (H),0.964641668165228,0.8098067306912999,0.8441357763157205,0.8098067306912999,8.202129193598283,8.283816984350148,8.39833502730428,8.851772374348217,-0.10345969707333258,0.04329007329562214,382,0.9995216065845748,False
pupil_diam_mean_R,Oculomotor (Pupil/Gaze),ANOVA (F),0.31397850006366546,0.8152811286898536,0.8152811286898536,0.7854085943978981,3.450599199274804,3.496794292687731,3.537618894565544,3.5227710468899467,0.2221109668508152,8.567796677524241e-06,394,0.9995216065845748,False
eda_tonic_mean_uS,Electrodermal (EDA),Kruskal-Wallis (H),0.8722881728776883,0.8321096304500208,0.996275101529802,0.8321096304500208,4.480012073687716,4.324824590798583,4.444247340271577,4.472409300160667,-0.08632075304148967,0.09203865213968344,382,0.9995216065845748,False
eda_conductance_mean_uS,Electrodermal (EDA),Kruskal-Wallis (H),0.8669092788220496,0.8334051118927859,0.9962691108776811,0.8334051118927859,4.480094605186039,4.324812693911123,4.444243726836726,4.472489268469512,-0.08624476087277329,0.09232636189486512,382,0.9995216065845748,False
sac_main_seq_mean,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),0.8568818245228158,0.8358187303749623,0.6411358296433163,0.8358187303749623,8.615576092933115e-07,9.617188207772316e-07,8.756727433300342e-07,8.858844619264523e-07,0.1936886910773399,0.00010923956100393825,394,0.9995216065845748,False
delta_HRV_LF_HF,Personalized Delta,Kruskal-Wallis (H),0.6861367282656374,0.8764597849580257,0.9982736200412782,0.8764597849580257,0.571722712117579,0.515084727365887,0.4665453761339933,0.5325987227674676,-0.04392259605238555,0.3932156034593364,380,0.9995216065845748,False
eda_conductance_std_uS,Electrodermal (EDA),Kruskal-Wallis (H),0.6789401017476848,0.8781459119918539,0.8487487045627025,0.8781459119918539,0.4523798662995952,0.4152286584165715,0.48380496582920457,0.5074553777485921,-0.046216262733128316,0.3676894952802918,382,0.9995216065845748,False
ecg_rr_lf_hf_ratio,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.5581545254422053,0.9059414580764796,0.9910296867121425,0.9059414580764796,3.7148124558466766,3.7193585369303026,3.6121839906377815,3.7282523536592005,-0.19526203288770552,8.46209566261111e-05,400,0.9995216065845748,False
ecg_rr_lf_power,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.45917274669727703,0.9277649346050272,0.6608688860833958,0.9277649346050272,3563.65463140442,2563.5614823670353,3616.9925213788542,2492.7762879669276,0.07370408565053531,0.14116391214046461,400,0.9995216065845748,False
pupil_diam_mean_mm,Oculomotor (Pupil/Gaze),ANOVA (F),0.11203961564905607,0.9530425049097901,0.9530425049097901,0.935758839080233,3.580106440499365,3.6076795014126106,3.6313069662348556,3.5939223241026044,0.19466320834353154,0.00010068178478100747,394,0.9995216065845748,False
delta_HRV_RMSSD,Personalized Delta,Kruskal-Wallis (H),0.31658009949546795,0.9568806398946588,0.9772808970856095,0.9568806398946588,-14.469707016652288,-12.971094254307102,-8.286366183166491,-13.264486641736099,0.3444114883820839,4.738656064540538e-12,381,0.9995216065845748,False
ecg_rr_rmssd_ms,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.3111419345414106,0.957919542895279,0.940516177229167,0.957919542895279,73.70737951308854,70.8295912441266,77.58042824166677,75.03061039156209,0.18274667808091713,0.00023405493019845264,401,0.9995216065845748,False
sac_main_seq_stdev,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),0.29345309222026117,0.9612550375566536,0.741019196272179,0.9612550375566536,7.487847529451897e-08,1.117994139157214e-07,8.910099613373067e-08,8.192644081151798e-08,0.18034190507628928,0.00032085454144675687,394,0.9995216065845748,False
ecg_rr_pnn50,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.2175424517301482,0.9747088654086795,0.9983213755497021,0.9747088654086795,21.0428910630756,20.78259238454545,20.915637047842356,20.555912549787752,0.056514147918026794,0.25887055099348394,401,0.9995216065845748,False
ecg_rr_hf_power,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.20997599681822976,0.9759629877019018,0.9027956878264705,0.9759629877019018,1904.9534061891543,1714.3232853876168,2152.113886750409,1795.8441376160613,0.15027281420508878,0.002585267738667227,400,0.9995216065845748,False
eda_phasic_energy,Electrodermal (EDA),Kruskal-Wallis (H),0.08405579474015212,0.9936795916517314,0.5048102321654617,0.9936795916517314,0.03484796920596541,0.016719938491455456,0.00873590902323309,0.021985829398830287,-0.07126310932183878,0.16452040150706884,382,0.9995216065845748,False
rest_EDA_conductance,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),0.06839790559263438,0.9953388938387091,0.9880196655281959,0.9953388938387091,3.629607165475221,3.5755555626267546,3.4204563978321723,3.5779306401360262,-0.16957830458955023,0.0007969552621765557,388,0.9995216065845748,False
rest_EDA_tonic,Oculomotor (Pupil/Gaze),Kruskal-Wallis (H),0.06839790559263438,0.9953388938387091,0.9880214623393474,0.9953388938387091,3.629632214411682,3.5755808847422688,3.420494580491844,3.5779558617262976,-0.16957830458955023,0.0007969552621765557,388,0.9995216065845748,False
rest_HRV_RMSSD,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.05914883463687086,0.9962412388737407,0.9986488323314145,0.9962412388737407,89.30803454485813,89.22549968048916,86.79930457281932,88.96306207357276,-0.08142225064338257,0.10930663371008867,388,0.9995216065845748,False
rest_HRV_LF_HF,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.04942820685666465,0.9971202799371217,0.999296755936156,0.9971202799371217,3.2114836810217895,3.1729535222963134,3.247546030021139,3.218784099212371,-0.10967475050880383,0.030781087630575157,388,0.9995216065845748,False
rest_HRV_SDNN,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.04423817198995978,0.9975579298369794,0.9992863285973378,0.9975579298369794,93.87795087928639,93.44883474196051,92.31183540345997,93.64609612507203,-0.07639358232014407,0.1330661758553944,388,0.9995216065845748,False
rest_HR,Cardiovascular (ECG/HRV),Kruskal-Wallis (H),0.03794708222069837,0.9980562174005561,0.9984429009398869,0.9980562174005561,69.10137054666036,68.89851677925441,69.11909361745825,68.88065612332161,0.10248671042868052,0.043637520486080016,388,0.9995216065845748,False
pupil_diam_mean_L,Oculomotor (Pupil/Gaze),ANOVA (F),0.004938518550647572,0.9995216065845748,0.9995216065845748,0.9812460035105162,3.414077041155651,3.4028672026191065,3.4072265623354845,3.404664931711117,0.14201357398370473,0.004738988949909396,394,0.9995216065845748,False
